text,label,sentiment,category
"This product is amazing! Works perfectly.",positive,positive,product_review
"Terrible experience. Worst purchase ever.",negative,negative,product_review
"The customer service was incredibly helpful and responsive.",positive,positive,customer_service
"I've been waiting for my order for 3 weeks with no updates.",negative,negative,logistics
"The new features are fantastic and very intuitive.",positive,positive,feature_feedback
"The interface is confusing and hard to navigate.",negative,negative,usability
"Great value for money. Highly recommended!",positive,positive,value_proposition
"Not worth the price. Better alternatives available.",negative,negative,pricing
"The team went above and beyond to help me.",positive,positive,customer_service
"Installation was a nightmare. Gave up halfway.",negative,negative,technical_support
"Exceeded my expectations in every way.",positive,positive,overall_satisfaction
"Broke after just one week of normal use.",negative,negative,durability
"This is exactly what I was looking for!",positive,positive,relevance
"Completely useless for my needs.",negative,negative,relevance
"Five stars! Can't imagine life without this.",positive,positive,overall_satisfaction
"Waste of money. Got my refund.",negative,negative,value_proposition
"The quality is outstanding and durable.",positive,positive,quality
"Customer service ignored my complaint.",negative,negative,customer_service
"Fast shipping and well packaged.",positive,positive,logistics
"Missing parts in my order.",negative,negative,logistics
"The tutorial made setup easy.",positive,positive,documentation
"No documentation provided whatsoever.",negative,negative,documentation
"Performance exceeded all my expectations.",positive,positive,performance
"Constantly crashes and freezes.",negative,negative,reliability
"Excellent support team resolved my issue quickly.",positive,positive,customer_service
"Still waiting for a response after 2 weeks.",negative,negative,customer_service
